"id";"created";"name";"position";"foot";"height";"weight";"dob";"cityob";"countryob";"nt";"club";"age"
"1840e36d";"2021-12-24 18:19:19";"Thibaut Courtois";"GK";"68% Left";"199";"91";"May 11, 1992";"Bree";"Belgium";"Belgium";"Real Madrid";"29"
"2784f898";"2021-12-24 18:19:37";"Éder Militão";"DF-MF (CB, right)";"91% Right";"186";"79";"January 18, 1998";"Sertãozinho";"Brazil";"Brazil";"Real Madrid";"23"
